uid,iid,rating
1,6068,3
1,6011,2
1,6119,5
1,1,5
2,6565,1
2,14311,4
2,50,3
2,6147,5
2,1,5
4,7455,5
4,13181,5
4,14398,4
4,2253,5
4,7521,4
4,1,4
5,6119,5
5,13181,3
5,13199,4
5,6032,4
5,6120,5
5,1,4
6,4117,5
6,12086,5
6,11649,5
6,13199,5
6,6702,3
6,34,1
6,4131,4
6,14325,5
7,1,4
8,6143,1
8,65,4
8,12105,5
8,13199,4
8,11926,5
8,43,4
8,82,4
8,1,4
9,6020,3
9,7584,3
9,8530,5
9,2218,3
9,6081,4
9,1,3
10,7442,4
10,1,4
11,12105,5
11,1,5
12,12090,3
12,7623,3
12,4,4
12,6666,4
12,10313,3
12,6021,4
12,14432,3
12,2375,4
12,5038,5
12,14338,4
12,7372,4
12,14416,3
12,6247,5
12,6119,5
12,2214,2
12,6044,4
12,777,4
12,7567,4
12,4137,5
12,6015,4
12,6040,4
12,5049,5
12,6152,5
12,7378,5
12,41,4
12,11921,3
12,14428,4
12,7008,4
12,676,4
12,12041,4
14,23,5
14,7551,5
14,11987,4
14,6140,2
14,14432,3
14,4131,4
14,6055,5
14,13166,4
14,7566,4
14,14337,4
14,7537,4
14,7473,5
14,2487,3
14,7433,4
14,2233,4
14,9270,1
14,4172,4
14,6070,4
14,6655,1
14,6056,4
14,7487,3
14,7631,5
14,30,4
14,12057,4
14,14340,1
14,7557,5
14,2229,5
14,12086,4
16,1,4
17,14312,5
17,1,5
18,7370,4
18,1,5
19,11932,5
19,14310,4
19,36,4
19,7508,4
19,1,5
20,2213,5
20,13120,4
20,14400,4
20,12102,5
20,48,4
20,2267,5
20,1,4
21,6068,4
21,14337,5
21,13199,4
21,14405,1
21,12041,4
21,1175,4
21,6074,4
21,14427,4
23,2240,4
23,12033,1
23,12015,4
23,13199,2
23,7612,4
23,1178,4
23,2375,4
23,14505,4
24,7534,5
24,6067,4
24,14416,5
24,2237,4
24,5036,2
24,14426,3
24,7582,4
24,14404,4
24,7479,5
24,7406,4
24,1176,4
24,7386,4
24,782,4
24,8733,5
24,4137,5
24,6039,5
24,6653,4
24,5264,4
24,7422,4
24,7632,4
24,12,3
24,12682,5
24,14416,5
24,7555,2
24,771,4
24,14346,2
26,14312,5
26,1,5
27,2219,5
27,14435,5
27,4161,2
27,14315,1
27,40,4
27,6152,5
27,14447,5
27,7444,1
27,12237,5
27,7567,5
27,62,5
27,12231,3
27,13107,5
27,6032,3
27,2239,1
27,12096,4
27,4167,4
27,11973,4
27,4162,5
27,6617,4
27,6246,5
27,6055,5
27,6056,5
27,38,2
27,2349,4
27,14436,3
27,14470,1
27,681,4
27,14495,2
27,6143,4
27,14354,4
27,7473,5
27,12192,1
27,7675,4
27,12155,5
27,7680,1
27,11925,4
27,36,4
27,6110,5
27,2217,5
27,684,5
27,4157,5
27,5043,5
27,12236,4
27,4174,4
27,6031,3
27,7008,3
27,12162,3
27,13193,1
27,2272,5
27,7492,5
27,7644,5
27,7750,3
27,14480,4
27,14503,5
27,6258,2
27,4117,4
27,7512,5
27,12015,3
27,8733,5
27,2303,4
27,7753,5
27,4649,5
27,7093,4
27,6655,2
27,6111,3
27,12191,4
27,6371,4
28,6016,5
28,6021,5
28,6565,5
28,14432,3
28,7566,5
28,4112,5
28,14326,3
28,7370,5
28,14397,4
28,2243,4
28,6011,5
28,7577,5
31,1,5
32,1,5
34,7644,5
34,13054,5
34,2218,5
34,7378,4
34,1,5
35,86,4
35,7455,5
35,14530,4
35,8302,5
35,11932,5
35,1176,5
35,8601,1
35,787,5
35,1174,5
35,6160,5
35,6613,5
35,7847,5
35,6317,5
35,11984,2
35,62,5
35,14541,3
35,196,4
37,6444,3
37,5102,5
37,6617,3
37,1,3
38,2243,3
38,2235,4
38,2236,3
38,6141,4
38,14396,3
38,7439,4
38,50,3
38,13166,3
38,7370,4
38,13180,5
38,23,4
38,2224,4
38,7492,4
39,10417,5
39,2282,4
39,410,1
39,14431,4
39,7508,4
39,7520,5
39,14404,5
39,7776,5
39,10,5
39,6790,4
39,10184,5
39,4606,5
39,24,4
39,408,5
39,2252,4
39,14555,2
39,6901,3
39,12252,4
39,15128,4
39,6650,5
39,14352,5
39,6268,5
39,53,3
39,6143,3
39,37,5
39,6108,5
39,6940,1
39,14685,5
39,14445,5
39,10427,3
39,14394,5
39,6864,5
39,15330,5
39,11196,3
40,9079,4
40,7084,4
40,8973,4
40,8801,4
40,8921,4
40,9179,3
40,12340,4
40,468,4
40,2502,4
40,13517,2
40,13664,4
40,13125,3
40,11793,3
40,13246,3
40,9065,4
40,11798,4
40,3936,3
40,7661,4
40,7191,4
40,9544,4
40,8877,2
40,3017,3
40,663,4
40,414,4
40,12385,4
40,2670,4
40,9405,4
40,1279,3
40,13581,4
40,398,3
40,9390,3
40,9290,4
40,8622,4
40,10407,4
40,9772,4
40,9280,4
40,5667,4
40,1398,4
40,3020,4
40,7140,4
40,6988,3
40,5775,3
40,15437,3
40,15305,3
40,559,4
40,15633,3
40,11625,4
40,7357,4
40,9264,5
40,8806,3
40,8831,4
40,8970,4
40,13485,3
40,6728,5
40,1140,5
40,614,3
40,3014,4
40,5662,5
40,9256,3
40,7553,4
40,8802,3
40,8897,4
40,15565,3
40,15899,4
40,7023,3
40,2863,4
40,8233,3
40,9110,4
40,13507,3
40,8912,3
40,2676,2
40,8902,4
40,4625,4
40,7308,3
40,7178,3
40,6759,3
40,9263,4
40,7082,3
41,6081,5
41,78,5
41,6238,3
41,1,4
42,7443,5
42,6017,5
42,12075,5
42,11926,5
42,11649,4
42,12959,4
42,3165,3
42,6038,4
42,12007,5
44,12182,4
44,14313,3
44,12231,4
44,36,5
44,2278,4
44,1,4
45,4172,4
45,12232,5
45,12238,3
45,53,5
45,5046,5
45,1,5
48,2,5
50,2,5
51,14488,5
51,2,5
52,6581,4
52,14432,4
52,14507,5
52,4207,2
52,6660,5
52,2,3
53,2,5
54,2,4
55,14540,3
55,2,4
56,6078,5
56,4103,4
56,11149,4
56,13036,1
56,6852,5
56,1211,5
56,4326,5
56,2,5
57,16050,3
57,2,4
58,3159,4
58,197,4
58,6200,4
58,2,4
59,6867,3
59,2,4
60,333,4
60,13393,3
60,12103,5
60,14338,5
60,6958,5
60,45,4
60,398,5
60,14398,5
61,6660,5
61,12020,4
61,11493,5
61,10132,5
61,10184,5
61,14392,5
61,6141,5
61,13148,5
61,14405,4
61,2733,4
61,14480,4
61,10988,5
61,12329,5
61,178,2
61,10367,5
61,4503,5
61,2789,1
61,6614,5
61,6794,5
61,13301,2
61,7161,4
61,12245,4
61,6017,3
61,15075,5
61,14445,4
61,6785,5
61,11011,5
61,11682,5
61,6247,5
61,12622,5
61,1656,5
61,14323,4
61,6107,5
61,6790,5
61,12265,5
61,12132,5
61,10404,5
61,11995,4
61,6694,5
61,12377,5
61,10558,5
62,6412,5
62,7232,5
62,6939,3
62,7161,5
62,7572,5
62,12454,4
62,178,2
62,1289,5
62,13381,5
62,13698,5
62,12642,5
62,12252,5
62,13037,5
62,7480,5
62,12268,5
62,4292,5
62,6759,4
62,6623,5
62,11431,4
62,7070,2
62,3065,5
62,410,3
62,65,5
62,12377,5
62,2303,3
62,9783,5
62,553,5
62,13528,5
62,48,3
62,9779,5
62,9077,5
62,6829,4
62,12123,5
62,13446,5
62,11962,5
62,8872,5
62,5264,5
62,662,5
62,3086,5
62,6434,5
62,6314,5
62,6016,2
62,14444,5
62,14405,5
62,315,3
62,15025,5
62,12226,5
62,6728,5
62,8474,3
62,6968,5
62,7027,5
62,7200,5
62,13202,4
62,6070,4
62,552,5
62,337,4
62,3011,4
62,4868,5
62,8147,5
62,14243,5
62,6753,5
62,6940,4
62,7101,3
62,14503,5
62,15899,5
62,6358,4
62,2594,5
62,6785,5
62,7546,5
62,13317,5
62,7160,4
62,2312,5
62,7126,5
62,4454,5
62,6691,5
62,6613,5
62,6074,5
62,8358,5
62,6393,3
63,14436,4
63,3,3
64,7378,3
64,13121,3
64,14428,4
64,12242,3
64,3173,5
64,7487,5
64,3,4
65,14448,2
65,3,3
66,12321,4
66,3,3
67,12294,3
67,2292,4
67,2267,4
67,2277,3
67,6239,3
67,14488,4
67,11986,4
67,6666,4
67,1302,5
67,12650,4
67,6617,4
67,14428,5
67,12233,5
67,53,5
67,2227,5
67,7467,5
68,4117,5
68,14428,5
68,12107,3
68,14436,5
68,10152,3
68,57,5
68,4127,3
68,14448,3
69,14326,1
69,3,3
70,12102,4
70,6077,2
70,14429,4
70,13180,4
70,12231,4
70,14435,5
70,2276,4
70,6090,4
70,14427,4
71,7680,4
71,3,3
72,13181,1
72,3,4
73,6119,4
73,13181,5
73,3,2
74,12014,3
74,3,2
75,14432,3
75,4,4
77,4,4
80,14308,3
80,4127,3
80,2246,4
80,6068,3
80,4,5
81,4,2
83,6119,5
83,4127,4
83,6120,3
83,4,4
86,12014,4
86,12102,5
86,53,2
86,4137,2
86,4,2
87,12134,4
87,4,3
88,12193,3
88,4,2
89,12105,5
89,4,5
90,14326,3
90,4,5
91,6119,5
91,7632,5
91,7378,4
91,2226,4
91,12091,4
91,7535,4
91,12098,4
91,56,5
91,2227,2
91,10101,3
93,4153,5
93,12338,4
93,4,3
94,14325,5
94,4,5
95,12134,5
95,2310,4
95,14428,1
95,13273,5
95,12403,4
95,14466,3
95,98,4
95,6068,5
95,14399,5
96,4,5
97,4,1
98,7512,5
98,4109,5
98,12007,4
98,12161,5
98,8643,5
98,785,5
98,4206,5
98,4,4
99,4,4
100,6044,4
100,2350,3
100,6068,3
100,4,4
101,14326,4
101,43,4
101,23,5
101,45,4
101,5,5
102,13120,4
102,2229,5
102,59,4
102,1310,4
102,6019,4
102,14397,3
102,6137,4
102,50,4
102,14325,4
102,6058,3
102,14363,4
102,31,4
102,54,4
102,6247,4
103,9583,3
103,12360,5
103,3172,4
103,8891,4
103,5,5
104,5,5
105,5,5
106,6106,3
106,6078,4
106,7027,2
106,6929,1
106,6630,3
106,6643,4
